DrugId:START_ID(Drug),Relation:TYPE,DiseaseId:END_ID(Disease),RelationName
DB00435,DrugToDisease,C0025637,Contraindication
DB00435,DrugToDisease,C0031190,Indication
DB00435,DrugToDisease,C0023212,Contraindication
DB00435,DrugToDisease,C0020542,Indication
DB03843,DrugToDisease,C0021400,Indication
DB00536,DrugToDisease,C0022972,Indication
DB00536,DrugToDisease,C0040034,Contraindication
DB00536,DrugToDisease,C0002871,Contraindication
DB00536,DrugToDisease,C0023530,Contraindication
DB13259,DrugToDisease,C0010403,Contraindication
DB00145,DrugToDisease,C1442839,Contraindication
DB00145,DrugToDisease,C0042510,Contraindication
DB00145,DrugToDisease,C0085681,Contraindication
DB00145,DrugToDisease,C0751434,Contraindication
DB00145,DrugToDisease,C0022661,Contraindication
DB00145,DrugToDisease,C0274726,Contraindication
DB00145,DrugToDisease,C0149911,Contraindication
DB00145,DrugToDisease,C0020437,Contraindication
DB00145,DrugToDisease,C0018799,Contraindication
DB00145,DrugToDisease,C0022650,Contraindication
DB00145,DrugToDisease,C0022658,Contraindication
DB00145,DrugToDisease,C0003851,Contraindication
DB00145,DrugToDisease,C0011175,Contraindication
DB00145,DrugToDisease,C0020502,Contraindication
DB00145,DrugToDisease,C0009806,Contraindication
DB00145,DrugToDisease,C0036202,Contraindication
DB00145,DrugToDisease,C1260880,Indication
DB00145,DrugToDisease,C0010200,Indication
DB00145,DrugToDisease,C0027424,Indication
DB00145,DrugToDisease,C2607914,Indication
DB00145,DrugToDisease,C0035455,Indication
DB00145,DrugToDisease,C0009443,Indication
DB00551,DrugToDisease,C0040034,Contraindication
DB00551,DrugToDisease,C0001973,Contraindication
DB00551,DrugToDisease,C0268734,Contraindication
DB00551,DrugToDisease,C0002878,Contraindication
DB00551,DrugToDisease,C0023530,Contraindication
DB00551,DrugToDisease,C0002871,Contraindication
DB00551,DrugToDisease,C0031542,Contraindication
DB00551,DrugToDisease,C0042029,Indication
DB01005,DrugToDisease,C0002871,Contraindication
DB01005,DrugToDisease,C0278996,Indication
DB01005,DrugToDisease,C0022658,Contraindication
DB01005,DrugToDisease,C0040028,Off-label use
DB01005,DrugToDisease,C0032463,Off-label use
DB01005,DrugToDisease,C0238425,Indication
DB01005,DrugToDisease,C0040034,Contraindication
DB01005,DrugToDisease,C0023473,Indication
DB01005,DrugToDisease,C1140680,Indication
DB01005,DrugToDisease,C0023530,Contraindication
DB01005,DrugToDisease,C0002895,Indication
DB01005,DrugToDisease,C0025202,Indication
DB01005,DrugToDisease,C0262988,Contraindication
DB01005,DrugToDisease,C0002895,Indication
DB01839,DrugToDisease,C0013238,Indication
DB01839,DrugToDisease,C0022575,Off-label use
DB00847,DrugToDisease,C0029453,Contraindication
DB00847,DrugToDisease,C0237938,Contraindication
DB00847,DrugToDisease,C2931187,Indication
DB00847,DrugToDisease,C0033845,Contraindication
DB00847,DrugToDisease,C0006111,Contraindication
DB00847,DrugToDisease,C0023530,Contraindication
DB00847,DrugToDisease,C0017181,Contraindication
DB00847,DrugToDisease,C0011581,Contraindication
DB00847,DrugToDisease,C0016658,Contraindication
DB00847,DrugToDisease,C0023895,Contraindication
DB00847,DrugToDisease,C0037274,Contraindication
DB00847,DrugToDisease,C0014544,Contraindication
DB01093,DrugToDisease,C0023308,Contraindication
DB01093,DrugToDisease,C0282488,Indication
DB01093,DrugToDisease,C0022658,Contraindication
DB01093,DrugToDisease,C0751571,Contraindication
DB01093,DrugToDisease,C0600040,Indication
DB01213,DrugToDisease,C0261439,Indication
DB01213,DrugToDisease,C0023895,Contraindication
DB01213,DrugToDisease,C0022658,Contraindication
DB00592,DrugToDisease,C0023895,Contraindication
DB00592,DrugToDisease,C0022658,Contraindication
DB00592,DrugToDisease,C0086227,Indication
DB00592,DrugToDisease,C0014544,Contraindication
DB00592,DrugToDisease,C0003950,Indication
DB04398,DrugToDisease,C0033774,Indication
DB09462,DrugToDisease,C0009806,Indication
DB13733,DrugToDisease,C0917801,Indication
DB00260,DrugToDisease,C0268734,Contraindication
DB00260,DrugToDisease,C0041318,Off-label use
DB00260,DrugToDisease,C0002896,Contraindication
DB00260,DrugToDisease,C0577708,Indication
DB00260,DrugToDisease,C0042847,Contraindication
DB00260,DrugToDisease,C0041327,Indication
DB00260,DrugToDisease,C0011581,Contraindication
DB00260,DrugToDisease,C0275959,Indication
DB00260,DrugToDisease,C0002888,Contraindication
DB00260,DrugToDisease,C0022658,Contraindication
DB00260,DrugToDisease,C0033975,Contraindication
DB00260,DrugToDisease,C0026918,Off-label use
DB00260,DrugToDisease,C0729524,Indication
DB00260,DrugToDisease,C0001973,Contraindication
DB00260,DrugToDisease,C0014544,Contraindication
DB00260,DrugToDisease,C0016412,Contraindication
DB00122,DrugToDisease,C0917801,Indication
DB06770,DrugToDisease,C0332798,Contraindication
DB06770,DrugToDisease,C0033774,Indication
DB06770,DrugToDisease,C0011616,Contraindication
DB06770,DrugToDisease,C0020550,Contraindication
DB06770,DrugToDisease,C0011849,Contraindication
DB06770,DrugToDisease,C0017605,Contraindication
DB06770,DrugToDisease,C0020538,Contraindication
