DrugId:START_ID(Drug),Relation:TYPE,ProteinId:END_ID(Protein),RelationName,Action
DB00001,DrugToProtein,P00734,Target,Inhibitor
DB00002,DrugToProtein,P00533,Target,Binder
DB00002,DrugToProtein,O75015,Target,Binder
DB00002,DrugToProtein,P02745,Target,Binder
DB00002,DrugToProtein,P02746,Target,Binder
DB00002,DrugToProtein,P02747,Target,Binder
DB00002,DrugToProtein,P08637,Target,Binder
DB00002,DrugToProtein,P12314,Target,Binder
DB00002,DrugToProtein,P12318,Target,Binder
DB00004,DrugToProtein,P01589,Target,Binder
DB00004,DrugToProtein,P14784,Target,Binder
DB00004,DrugToProtein,P31785,Target,Binder
DB00004,DrugToProtein,P01589,Target,Agonist
DB00004,DrugToProtein,P14784,Target,Agonist
DB00004,DrugToProtein,P31785,Target,Agonist
DB00004,DrugToProtein,P01589,Target,Unknown
DB00004,DrugToProtein,P14784,Target,Unknown
DB00004,DrugToProtein,P31785,Target,Unknown
DB00005,DrugToProtein,P01375,Target,Inhibitor
DB00005,DrugToProtein,P01374,Target,Inhibitor
DB00005,DrugToProtein,P12314,Target,Inhibitor
DB00005,DrugToProtein,P12318,Target,Inhibitor
DB00005,DrugToProtein,P31994,Target,Inhibitor
DB00005,DrugToProtein,P31995,Target,Inhibitor
DB00005,DrugToProtein,P08637,Target,Inhibitor
DB00005,DrugToProtein,O75015,Target,Inhibitor
DB00005,DrugToProtein,P02745,Target,Inhibitor
DB00005,DrugToProtein,P02746,Target,Inhibitor
DB00005,DrugToProtein,P02747,Target,Inhibitor
DB00005,DrugToProtein,P01375,Target,Antibody
DB00005,DrugToProtein,P01374,Target,Antibody
DB00005,DrugToProtein,P12314,Target,Antibody
DB00005,DrugToProtein,P12318,Target,Antibody
DB00005,DrugToProtein,P31994,Target,Antibody
DB00005,DrugToProtein,P31995,Target,Antibody
DB00005,DrugToProtein,P08637,Target,Antibody
DB00005,DrugToProtein,O75015,Target,Antibody
DB00005,DrugToProtein,P02745,Target,Antibody
DB00005,DrugToProtein,P02746,Target,Antibody
DB00005,DrugToProtein,P02747,Target,Antibody
DB00005,DrugToProtein,P01375,Target,Ligand
DB00005,DrugToProtein,P01374,Target,Ligand
DB00005,DrugToProtein,P12314,Target,Ligand
DB00005,DrugToProtein,P12318,Target,Ligand
DB00005,DrugToProtein,P31994,Target,Ligand
DB00005,DrugToProtein,P31995,Target,Ligand
DB00005,DrugToProtein,P08637,Target,Ligand
DB00005,DrugToProtein,O75015,Target,Ligand
DB00005,DrugToProtein,P02745,Target,Ligand
DB00005,DrugToProtein,P02746,Target,Ligand
DB00005,DrugToProtein,P02747,Target,Ligand
DB00006,DrugToProtein,P00734,Target,Inhibitor
DB00007,DrugToProtein,P30968,Target,Agonist
DB00008,DrugToProtein,P48551,Target,Agonist
DB00008,DrugToProtein,P17181,Target,Agonist
DB00009,DrugToProtein,P00747,Target,Activator
DB00009,DrugToProtein,P02671,Target,Activator
DB00009,DrugToProtein,P02679,Target,Activator
DB00009,DrugToProtein,P05121,Target,Activator
DB00009,DrugToProtein,P00747,Target,Binder
DB00009,DrugToProtein,P02671,Target,Binder
DB00009,DrugToProtein,P02679,Target,Binder
DB00009,DrugToProtein,P05121,Target,Binder
DB00009,DrugToProtein,P00747,Target,Unknown
DB00009,DrugToProtein,P02671,Target,Unknown
DB00009,DrugToProtein,P02679,Target,Unknown
DB00009,DrugToProtein,P05121,Target,Unknown
DB00010,DrugToProtein,Q02643,Target,Agonist
DB00011,DrugToProtein,P17181,Target,Agonist
DB00011,DrugToProtein,P48551,Target,Agonist
DB00012,DrugToProtein,P19235,Target,Agonist
DB00013,DrugToProtein,P00747,Target,Activator
DB00013,DrugToProtein,Q03405,Target,Activator
DB00013,DrugToProtein,P05121,Target,Activator
DB00013,DrugToProtein,P05120,Target,Activator
DB00013,DrugToProtein,P05154,Target,Activator
DB00013,DrugToProtein,P98164,Target,Activator
DB00013,DrugToProtein,Q9Y5Y6,Target,Activator
DB00013,DrugToProtein,P14543,Target,Activator
DB00013,DrugToProtein,P00747,Target,Inducer
DB00013,DrugToProtein,Q03405,Target,Inducer
DB00013,DrugToProtein,P05121,Target,Inducer
DB00013,DrugToProtein,P05120,Target,Inducer
DB00013,DrugToProtein,P05154,Target,Inducer
DB00013,DrugToProtein,P98164,Target,Inducer
DB00013,DrugToProtein,Q9Y5Y6,Target,Inducer
DB00013,DrugToProtein,P14543,Target,Inducer
DB00013,DrugToProtein,P00747,Target,Substrate
DB00013,DrugToProtein,Q03405,Target,Substrate
DB00013,DrugToProtein,P05121,Target,Substrate
DB00013,DrugToProtein,P05120,Target,Substrate
DB00013,DrugToProtein,P05154,Target,Substrate
DB00013,DrugToProtein,P98164,Target,Substrate
