G4Id:START_ID(G4),Relation:TYPE,DiseaseId:END_ID(Disease),RelationName
HG4_2741,G4ToDisease,C0028043,Relate to
HG4_5195,G4ToDisease,C1956346,Relate to
HG4_6331,G4ToDisease,C0026769,Relate to
HG4_6370,G4ToDisease,C0026769,Relate to
HG4_6406,G4ToDisease,C0007570,Relate to
HG4_6406,G4ToDisease,C0003873,Relate to
HG4_7226,G4ToDisease,C0684249,Relate to
HG4_8100,G4ToDisease,C0013595,Relate to
HG4_9997,G4ToDisease,C1140680,Relate to
HG4_15900,G4ToDisease,C0036341,Relate to
HG4_17481,G4ToDisease,C1861172,Relate to
HG4_17862,G4ToDisease,C0001973,Relate to
HG4_28604,G4ToDisease,C0020676,Relate to
HG4_53533,G4ToDisease,C0002395,Relate to
HG4_89846,G4ToDisease,C0036341,Relate to
HG4_89961,G4ToDisease,C0024141,Relate to
HG4_90236,G4ToDisease,C0018099,Relate to
HG4_110291,G4ToDisease,C0038436,Relate to
HG4_114613,G4ToDisease,C0004096,Relate to
HG4_114613,G4ToDisease,C0018621,Relate to
HG4_114613,G4ToDisease,C0013595,Relate to
HG4_127922,G4ToDisease,C1861172,Relate to
HG4_138533,G4ToDisease,C0002395,Relate to
HG4_138533,G4ToDisease,C0085220,Relate to
HG4_143808,G4ToDisease,C0042133,Relate to
HG4_147251,G4ToDisease,C0003873,Relate to
HG4_152865,G4ToDisease,C0013595,Relate to
HG4_167470,G4ToDisease,C0011860,Relate to
HG4_167650,G4ToDisease,C0024141,Relate to
HG4_173058,G4ToDisease,C0034951,Relate to
HG4_176327,G4ToDisease,C1395244,Relate to
HG4_186341,G4ToDisease,C0002395,Relate to
HG4_193527,G4ToDisease,C0011860,Relate to
HG4_196775,G4ToDisease,C0002395,Relate to
HG4_197269,G4ToDisease,C0002395,Relate to
HG4_207215,G4ToDisease,C1269683,Relate to
HG4_207215,G4ToDisease,C0001973,Relate to
HG4_211595,G4ToDisease,C0678222,Relate to
HG4_211596,G4ToDisease,C0678222,Relate to
HG4_223496,G4ToDisease,C1956346,Relate to
HG4_224894,G4ToDisease,C0042133,Relate to
HG4_225692,G4ToDisease,C0008350,Relate to
HG4_233717,G4ToDisease,C0027092,Relate to
HG4_233717,G4ToDisease,C0034951,Relate to
HG4_234138,G4ToDisease,C0005586,Relate to
HG4_251070,G4ToDisease,C0011860,Relate to
HG4_258108,G4ToDisease,C0026769,Relate to
HG4_273205,G4ToDisease,C0036341,Relate to
HG4_273587,G4ToDisease,C0086132,Relate to
HG4_291805,G4ToDisease,C0022650,Relate to
HG4_295153,G4ToDisease,C3495676,Relate to
HG4_303224,G4ToDisease,C1956346,Relate to
HG4_325094,G4ToDisease,C0024141,Relate to
HG4_326000,G4ToDisease,C0011860,Relate to
HG4_330064,G4ToDisease,C0010346,Relate to
HG4_330064,G4ToDisease,C0021390,Relate to
HG4_333613,G4ToDisease,C0036285,Relate to
HG4_349898,G4ToDisease,C0042133,Relate to
HG4_373643,G4ToDisease,C0028754,Relate to
HG4_386126,G4ToDisease,C0684249,Relate to
HG4_387188,G4ToDisease,C0235974,Relate to
HG4_387188,G4ToDisease,C0600139,Relate to
HG4_412580,G4ToDisease,C0678222,Relate to
HG4_450400,G4ToDisease,C0600139,Relate to
HG4_458950,G4ToDisease,C0678222,Relate to
HG4_458950,G4ToDisease,C0011860,Relate to
HG4_465950,G4ToDisease,C1510586,Relate to
HG4_465950,G4ToDisease,C0036341,Relate to
HG4_465952,G4ToDisease,C0684249,Relate to
HG4_468766,G4ToDisease,C1336708,Relate to
HG4_469016,G4ToDisease,C1510586,Relate to
HG4_469016,G4ToDisease,C0036341,Relate to
HG4_469753,G4ToDisease,C0036202,Relate to
HG4_469937,G4ToDisease,C0155877,Relate to
HG4_469987,G4ToDisease,C0004364,Relate to
HG4_469987,G4ToDisease,C0011860,Relate to
HG4_470410,G4ToDisease,C0002395,Relate to
