GoId:ID(GO),GoTermName,GoTermType,:LABEL
1,Mitochondrion inheritance,Biological_process,GO
2,Mitochondrial genome maintenance,Biological_process,GO
6,High-affinity zinc transmembrane transporter activity,Molecular_function,GO
7,Low-affinity zinc ion transmembrane transporter activity,Molecular_function,GO
9,"Alpha-1,6-mannosyltransferase activity",Molecular_function,GO
10,Heptaprenyl diphosphate synthase activity,Molecular_function,GO
11,Vacuole inheritance,Biological_process,GO
12,Single strand break repair,Biological_process,GO
14,Single-stranded dna endodeoxyribonuclease activity,Molecular_function,GO
15,Phosphopyruvate hydratase complex,Cellular_component,GO
16,Lactase activity,Molecular_function,GO
17,Alpha-glucoside transport,Biological_process,GO
18,Regulation of dna recombination,Biological_process,GO
19,Regulation of mitotic recombination,Biological_process,GO
22,Mitotic spindle elongation,Biological_process,GO
23,Maltose metabolic process,Biological_process,GO
24,Maltose biosynthetic process,Biological_process,GO
25,Maltose catabolic process,Biological_process,GO
26,"Alpha-1,2-mannosyltransferase activity",Molecular_function,GO
27,Ribosomal large subunit assembly,Biological_process,GO
28,Ribosomal small subunit assembly,Biological_process,GO
30,Mannosyltransferase activity,Molecular_function,GO
31,Mannosylphosphate transferase activity,Molecular_function,GO
32,Cell wall mannoprotein biosynthetic process,Biological_process,GO
33,"Alpha-1,3-mannosyltransferase activity",Molecular_function,GO
34,Adenine deaminase activity,Molecular_function,GO
35,Acyl binding,Molecular_function,GO
36,Acyl carrier activity,Molecular_function,GO
38,Very long-chain fatty acid metabolic process,Biological_process,GO
41,Transition metal ion transport,Biological_process,GO
45,Autophagosome assembly,Biological_process,GO
48,Peptidyltransferase activity,Molecular_function,GO
49,Trna binding,Molecular_function,GO
50,Urea cycle,Biological_process,GO
52,Citrulline metabolic process,Biological_process,GO
53,Argininosuccinate metabolic process,Biological_process,GO
54,Ribosomal subunit export from nucleus,Biological_process,GO
55,Ribosomal large subunit export from nucleus,Biological_process,GO
56,Ribosomal small subunit export from nucleus,Biological_process,GO
62,Fatty-acyl-coa binding,Molecular_function,GO
64,L-ornithine transmembrane transporter activity,Molecular_function,GO
70,Mitotic sister chromatid segregation,Biological_process,GO
73,Initial mitotic spindle pole body separation,Biological_process,GO
75,Cell cycle checkpoint signaling,Biological_process,GO
76,Dna replication checkpoint signaling,Biological_process,GO
77,Dna damage checkpoint signaling,Biological_process,GO
79,Regulation of cyclin-dependent protein serine/threonine kinase activity,Biological_process,GO
80,Mitotic g1 phase,Biological_process,GO
82,G1/s transition of mitotic cell cycle,Biological_process,GO
84,Mitotic s phase,Biological_process,GO
85,Mitotic g2 phase,Biological_process,GO
86,G2/m transition of mitotic cell cycle,Biological_process,GO
87,Mitotic m phase,Biological_process,GO
88,Mitotic prophase,Biological_process,GO
89,Mitotic metaphase,Biological_process,GO
90,Mitotic anaphase,Biological_process,GO
91,Mitotic anaphase a,Biological_process,GO
92,Mitotic anaphase b,Biological_process,GO
93,Mitotic telophase,Biological_process,GO
95,S-adenosyl-l-methionine transmembrane transporter activity,Molecular_function,GO
96,Sulfur amino acid metabolic process,Biological_process,GO
97,Sulfur amino acid biosynthetic process,Biological_process,GO
98,Sulfur amino acid catabolic process,Biological_process,GO
99,Sulfur amino acid transmembrane transporter activity,Molecular_function,GO
100,S-methylmethionine transmembrane transporter activity,Molecular_function,GO
101,Sulfur amino acid transport,Biological_process,GO
102,L-methionine secondary active transmembrane transporter activity,Molecular_function,GO
103,Sulfate assimilation,Biological_process,GO
104,Succinate dehydrogenase activity,Molecular_function,GO
105,L-histidine biosynthetic process,Biological_process,GO
107,Imidazoleglycerol-phosphate synthase activity,Molecular_function,GO
109,Nucleotide-excision repair complex,Cellular_component,GO
110,Nucleotide-excision repair factor 1 complex,Cellular_component,GO
111,Nucleotide-excision repair factor 2 complex,Cellular_component,GO
112,Nucleotide-excision repair factor 3 complex,Cellular_component,GO
113,Nucleotide-excision repair factor 4 complex,Cellular_component,GO
118,Histone deacetylase complex,Cellular_component,GO
120,Rna polymerase i transcription regulator complex,Cellular_component,GO
121,Glycerol-1-phosphatase activity,Molecular_function,GO
122,Negative regulation of transcription by rna polymerase ii,Biological_process,GO
123,Histone acetyltransferase complex,Cellular_component,GO
124,Saga complex,Cellular_component,GO
