GoId:START_ID(GO),Relation:TYPE,GoId:END_ID(GO),RelationName
5340,GOToGO,15116,Is subclass of
6090,GOToGO,32787,Is subclass of
8454,GOToGO,140103,Is subclass of
43937,GOToGO,50793,Is subclass of
52740,GOToGO,4620,Is subclass of
1861,GOToGO,4875,Is subclass of
50890,GOToGO,50877,Is subclass of
34248,GOToGO,19222,Is subclass of
32646,GOToGO,51246,Is subclass of
19746,GOToGO,16104,Is subclass of
140426,GOToGO,2221,Is subclass of
6535,GOToGO,19344,Is subclass of
32689,GOToGO,32649,Is subclass of
22401,GOToGO,9968,Is subclass of
62131,GOToGO,51213,Is subclass of
98782,GOToGO,140135,Is subclass of
35305,GOToGO,45936,Is subclass of
2339,GOToGO,2376,Is subclass of
17199,GOToGO,6474,Is subclass of
60435,GOToGO,30323,Is subclass of
1838,GOToGO,72175,Is subclass of
51951,GOToGO,51946,Is subclass of
71838,GOToGO,8283,Is subclass of
17006,GOToGO,36211,Is subclass of
32692,GOToGO,1818,Is subclass of
110034,GOToGO,1902660,Is subclass of
1904927,GOToGO,71398,Is subclass of
10128,GOToGO,18875,Is subclass of
14888,GOToGO,43500,Is subclass of
51382,GOToGO,140694,Is subclass of
46879,GOToGO,9914,Is subclass of
10263,GOToGO,10683,Is subclass of
44085,GOToGO,71840,Is subclass of
10373,GOToGO,10371,Is subclass of
21786,GOToGO,21785,Is subclass of
160135,GOToGO,86100,Is subclass of
36068,GOToGO,15995,Is subclass of
60102,GOToGO,62023,Is subclass of
46904,GOToGO,31406,Is subclass of
39013,GOToGO,72156,Is subclass of
102273,GOToGO,16755,Is subclass of
35819,GOToGO,3095,Is subclass of
1990360,GOToGO,1902911,Is subclass of
105,GOToGO,170038,Is subclass of
1904944,GOToGO,1901212,Is subclass of
7542,GOToGO,7538,Is subclass of
18982,GOToGO,18958,Is subclass of
15370,GOToGO,15081,Is subclass of
21926,GOToGO,21923,Is subclass of
2000203,GOToGO,2000200,Is subclass of
6623,GOToGO,6886,Is subclass of
101025,GOToGO,44091,Is subclass of
140450,GOToGO,34067,Is subclass of
1905246,GOToGO,10466,Is subclass of
42918,GOToGO,72348,Is subclass of
3030,GOToGO,9593,Is subclass of
71560,GOToGO,71363,Is subclass of
1900851,GOToGO,34250,Is subclass of
1788,GOToGO,1909,Is subclass of
70523,GOToGO,3845,Is subclass of
45639,GOToGO,45597,Is subclass of
70550,GOToGO,30261,Is subclass of
1901736,GOToGO,1901616,Is subclass of
9083,GOToGO,1901565,Is subclass of
34598,GOToGO,16838,Is subclass of
5687,GOToGO,97525,Is subclass of
71304,GOToGO,1901701,Is subclass of
8525,GOToGO,5548,Is subclass of
61539,GOToGO,15850,Is subclass of
60695,GOToGO,60694,Is subclass of
72142,GOToGO,48468,Is subclass of
1902838,GOToGO,1902513,Is subclass of
31157,GOToGO,65008,Is subclass of
150050,GOToGO,32156,Is subclass of
19504,GOToGO,170044,Is subclass of
44549,GOToGO,19899,Is subclass of
1902059,GOToGO,1902058,Is subclass of
30070,GOToGO,1901142,Is subclass of
42713,GOToGO,48609,Is subclass of
3015,GOToGO,3013,Is subclass of
1904655,GOToGO,1904653,Is subclass of
5324,GOToGO,15245,Is subclass of
7463,GOToGO,1752,Is subclass of
106286,GOToGO,16405,Is subclass of
98979,GOToGO,45202,Is subclass of
42083,GOToGO,8168,Is subclass of
1990428,GOToGO,50658,Is subclass of
46215,GOToGO,90487,Is subclass of
140885,GOToGO,140886,Is subclass of
18733,GOToGO,52689,Is subclass of
2000243,GOToGO,48518,Is subclass of
46673,GOToGO,46671,Is subclass of
2789,GOToGO,2788,Is subclass of
60344,GOToGO,60343,Is subclass of
10096,GOToGO,10093,Is subclass of
44761,GOToGO,32223,Is subclass of
1903825,GOToGO,55085,Is subclass of
10808,GOToGO,10807,Is subclass of
50362,GOToGO,70529,Is subclass of
42902,GOToGO,18210,Is subclass of
1904407,GOToGO,80164,Is subclass of
35865,GOToGO,35864,Is subclass of
2061,GOToGO,2054,Is subclass of
19637,GOToGO,6793,Is subclass of
15760,GOToGO,15712,Is subclass of
7625,GOToGO,7610,Is subclass of
140801,GOToGO,4713,Is subclass of
122,GOToGO,6357,Is subclass of
48855,GOToGO,9653,Is subclass of
50850,GOToGO,50848,Is subclass of
31676,GOToGO,98590,Is subclass of
32889,GOToGO,44088,Is subclass of
4362,GOToGO,16209,Is subclass of
15794,GOToGO,55085,Is subclass of
52619,GOToGO,43773,Is subclass of
99102,GOToGO,99101,Is subclass of
34983,GOToGO,18205,Is subclass of
1900424,GOToGO,31347,Is subclass of
32355,GOToGO,1901700,Is subclass of
6728,GOToGO,46148,Is subclass of
30736,GOToGO,8757,Is subclass of
6706,GOToGO,8202,Is subclass of
34072,GOToGO,9975,Is subclass of
32533,GOToGO,32532,Is subclass of
90394,GOToGO,98815,Is subclass of
18250,GOToGO,18249,Is subclass of
1903111,GOToGO,45910,Is subclass of
72725,GOToGO,72724,Is subclass of
7136,GOToGO,51324,Is subclass of
50239,GOToGO,16814,Is subclass of
48576,GOToGO,48587,Is subclass of
72039,GOToGO,2001053,Is subclass of
72238,GOToGO,72210,Is subclass of
5199,GOToGO,5198,Is subclass of
1905011,GOToGO,35435,Is subclass of
46101,GOToGO,46100,Is subclass of
8706,GOToGO,8422,Is subclass of
30248,GOToGO,30247,Is subclass of
1905052,GOToGO,1905051,Is subclass of
1901695,GOToGO,1901162,Is subclass of
99159,GOToGO,1905244,Is subclass of
71484,GOToGO,71482,Is subclass of
10493,GOToGO,1901137,Is subclass of
8028,GOToGO,46943,Is subclass of
71887,GOToGO,6915,Is subclass of
2000393,GOToGO,51093,Is subclass of
62235,GOToGO,22607,Is subclass of
46938,GOToGO,46937,Is subclass of
42858,GOToGO,9713,Is subclass of
1900564,GOToGO,34308,Is subclass of
6962,GOToGO,19731,Is subclass of
43149,GOToGO,31032,Is subclass of
2000324,GOToGO,2000322,Is subclass of
60483,GOToGO,60484,Is subclass of
32361,GOToGO,42822,Is subclass of
150053,GOToGO,98985,Is subclass of
70955,GOToGO,70949,Is subclass of
1905305,GOToGO,51494,Is subclass of
43864,GOToGO,16811,Is subclass of
4501,GOToGO,16705,Is subclass of
45156,GOToGO,9055,Is subclass of
8469,GOToGO,16274,Is subclass of
44494,GOToGO,44492,Is subclass of
10614,GOToGO,10611,Is subclass of
62088,GOToGO,62086,Is subclass of
19229,GOToGO,1903522,Is subclass of
1905004,GOToGO,72525,Is subclass of
32562,GOToGO,32558,Is subclass of
141170,GOToGO,51054,Is subclass of
18504,GOToGO,16628,Is subclass of
1905199,GOToGO,22411,Is subclass of
42794,GOToGO,9303,Is subclass of
48802,GOToGO,9886,Is subclass of
97335,GOToGO,10243,Is subclass of
34391,GOToGO,10660,Is subclass of
2000473,GOToGO,2000471,Is subclass of
46376,GOToGO,6664,Is subclass of
61671,GOToGO,98798,Is subclass of
1917,GOToGO,110165,Is subclass of
1696,GOToGO,46717,Is subclass of
61445,GOToGO,60957,Is subclass of
19520,GOToGO,5975,Is subclass of
7146,GOToGO,707,Is subclass of
36258,GOToGO,70925,Is subclass of
2000907,GOToGO,9895,Is subclass of
70056,GOToGO,16020,Is subclass of
90207,GOToGO,31323,Is subclass of
42067,GOToGO,1736,Is subclass of
86048,GOToGO,86012,Is subclass of
223,GOToGO,33180,Is subclass of
2000513,GOToGO,2702,Is subclass of
33243,GOToGO,33240,Is subclass of
15940,GOToGO,42398,Is subclass of
1900350,GOToGO,1901579,Is subclass of
1905819,GOToGO,1905818,Is subclass of
19469,GOToGO,19478,Is subclass of
60315,GOToGO,1901020,Is subclass of
1904707,GOToGO,48661,Is subclass of
42119,GOToGO,36230,Is subclass of
1990021,GOToGO,44303,Is subclass of
51984,GOToGO,90068,Is subclass of
8399,GOToGO,4497,Is subclass of
3019,GOToGO,1976,Is subclass of
106274,GOToGO,1990404,Is subclass of
1904846,GOToGO,48523,Is subclass of
52895,GOToGO,46592,Is subclass of
98915,GOToGO,99625,Is subclass of
14894,GOToGO,14877,Is subclass of
34983,GOToGO,6476,Is subclass of
19246,GOToGO,19244,Is subclass of
30583,GOToGO,32502,Is subclass of
71393,GOToGO,71383,Is subclass of
6809,GOToGO,46209,Is subclass of
61350,GOToGO,61346,Is subclass of
70844,GOToGO,6886,Is subclass of
70165,GOToGO,46887,Is subclass of
120179,GOToGO,150147,Is subclass of
42358,GOToGO,42357,Is subclass of
1897,GOToGO,51715,Is subclass of
48611,GOToGO,48566,Is subclass of
9145,GOToGO,9144,Is subclass of
61616,GOToGO,6001,Is subclass of
1904738,GOToGO,14909,Is subclass of
90336,GOToGO,45600,Is subclass of
106235,GOToGO,42577,Is subclass of
106263,GOToGO,8374,Is subclass of
15810,GOToGO,1905039,Is subclass of
70974,GOToGO,19904,Is subclass of
32571,GOToGO,33273,Is subclass of
43171,GOToGO,44248,Is subclass of
1904188,GOToGO,48525,Is subclass of
10825,GOToGO,90068,Is subclass of
15115,GOToGO,15103,Is subclass of
2000489,GOToGO,50865,Is subclass of
