GeneId:START_ID(Gene),Relation:TYPE,DiseaseId:END_ID(Disease),DSI,DPI,RelationName
1,GeneToDisease,C0036341,0.7,0.538,Relate to
2,GeneToDisease,C0002395,0.529,0.769,Relate to
2,GeneToDisease,C0007102,0.529,0.769,Relate to
2,GeneToDisease,C0009375,0.529,0.769,Relate to
2,GeneToDisease,C0011265,0.529,0.769,Relate to
2,GeneToDisease,C0011570,0.529,0.769,Relate to
2,GeneToDisease,C0011581,0.529,0.769,Relate to
2,GeneToDisease,C0019202,0.529,0.769,Relate to
2,GeneToDisease,C0022660,0.529,0.769,Relate to
2,GeneToDisease,C0023890,0.529,0.769,Relate to
2,GeneToDisease,C0024115,0.529,0.769,Relate to
2,GeneToDisease,C0024121,0.529,0.769,Relate to
2,GeneToDisease,C0027726,0.529,0.769,Relate to
2,GeneToDisease,C0206669,0.529,0.769,Relate to
2,GeneToDisease,C0239946,0.529,0.769,Relate to
2,GeneToDisease,C0242379,0.529,0.769,Relate to
2,GeneToDisease,C0276496,0.529,0.769,Relate to
2,GeneToDisease,C0494463,0.529,0.769,Relate to
2,GeneToDisease,C0546126,0.529,0.769,Relate to
2,GeneToDisease,C0750900,0.529,0.769,Relate to
2,GeneToDisease,C0750901,0.529,0.769,Relate to
2,GeneToDisease,C1527352,0.529,0.769,Relate to
2,GeneToDisease,C1565662,0.529,0.769,Relate to
2,GeneToDisease,C2239176,0.529,0.769,Relate to
2,GeneToDisease,C2609414,0.529,0.769,Relate to
2,GeneToDisease,C3279661,0.529,0.769,Relate to
9,GeneToDisease,C0001973,0.536,0.846,Relate to
9,GeneToDisease,C0004403,0.536,0.846,Relate to
9,GeneToDisease,C0005684,0.536,0.846,Relate to
9,GeneToDisease,C0005695,0.536,0.846,Relate to
9,GeneToDisease,C0006826,0.536,0.846,Relate to
9,GeneToDisease,C0008625,0.536,0.846,Relate to
9,GeneToDisease,C0013221,0.536,0.846,Relate to
9,GeneToDisease,C0027651,0.536,0.846,Relate to
9,GeneToDisease,C0028796,0.536,0.846,Relate to
9,GeneToDisease,C0033578,0.536,0.846,Relate to
9,GeneToDisease,C0041755,0.536,0.846,Relate to
9,GeneToDisease,C0086457,0.536,0.846,Relate to
9,GeneToDisease,C0086692,0.536,0.846,Relate to
9,GeneToDisease,C0376358,0.536,0.846,Relate to
10,GeneToDisease,C0005684,0.451,0.885,Relate to
10,GeneToDisease,C0005695,0.451,0.885,Relate to
10,GeneToDisease,C0006142,0.451,0.885,Relate to
10,GeneToDisease,C0010054,0.451,0.885,Relate to
10,GeneToDisease,C0011999,0.451,0.885,Relate to
10,GeneToDisease,C0013182,0.451,0.885,Relate to
10,GeneToDisease,C0013221,0.451,0.885,Relate to
10,GeneToDisease,C0019193,0.451,0.885,Relate to
10,GeneToDisease,C0023452,0.451,0.885,Relate to
10,GeneToDisease,C0023453,0.451,0.885,Relate to
10,GeneToDisease,C0023530,0.451,0.885,Relate to
10,GeneToDisease,C0023903,0.451,0.885,Relate to
10,GeneToDisease,C0027794,0.451,0.885,Relate to
10,GeneToDisease,C0027806,0.451,0.885,Relate to
10,GeneToDisease,C0028796,0.451,0.885,Relate to
10,GeneToDisease,C0033578,0.451,0.885,Relate to
10,GeneToDisease,C0041755,0.451,0.885,Relate to
10,GeneToDisease,C0080218,0.451,0.885,Relate to
10,GeneToDisease,C0086457,0.451,0.885,Relate to
10,GeneToDisease,C0152234,0.451,0.885,Relate to
10,GeneToDisease,C0152426,0.451,0.885,Relate to
10,GeneToDisease,C0266453,0.451,0.885,Relate to
10,GeneToDisease,C0344479,0.451,0.885,Relate to
10,GeneToDisease,C0345904,0.451,0.885,Relate to
10,GeneToDisease,C0345967,0.451,0.885,Relate to
10,GeneToDisease,C0376358,0.451,0.885,Relate to
10,GeneToDisease,C0678222,0.451,0.885,Relate to
10,GeneToDisease,C0702169,0.451,0.885,Relate to
10,GeneToDisease,C0860207,0.451,0.885,Relate to
10,GeneToDisease,C1257931,0.451,0.885,Relate to
10,GeneToDisease,C1262760,0.451,0.885,Relate to
10,GeneToDisease,C1458155,0.451,0.885,Relate to
10,GeneToDisease,C1956346,0.451,0.885,Relate to
10,GeneToDisease,C1961102,0.451,0.885,Relate to
10,GeneToDisease,C2239176,0.451,0.885,Relate to
10,GeneToDisease,C3658290,0.451,0.885,Relate to
10,GeneToDisease,C4277682,0.451,0.885,Relate to
10,GeneToDisease,C4279912,0.451,0.885,Relate to
10,GeneToDisease,C4704874,0.451,0.885,Relate to
12,GeneToDisease,C0023794,0.486,0.846,Relate to
12,GeneToDisease,C0033578,0.486,0.846,Relate to
12,GeneToDisease,C0376358,0.486,0.846,Relate to
15,GeneToDisease,C0005587,0.67,0.692,Relate to
15,GeneToDisease,C0011570,0.67,0.692,Relate to
15,GeneToDisease,C0011581,0.67,0.692,Relate to
15,GeneToDisease,C0393770,0.67,0.692,Relate to
15,GeneToDisease,C0494410,0.67,0.692,Relate to
15,GeneToDisease,C0751758,0.67,0.692,Relate to
15,GeneToDisease,C0751759,0.67,0.692,Relate to
15,GeneToDisease,C0751760,0.67,0.692,Relate to
15,GeneToDisease,C0877792,0.67,0.692,Relate to
16,GeneToDisease,C2750090,0.647,0.462,Relate to
16,GeneToDisease,C4225361,0.647,0.462,Relate to
18,GeneToDisease,C0004352,0.628,0.538,Relate to
18,GeneToDisease,C0017168,0.628,0.538,Relate to
18,GeneToDisease,C0022333,0.628,0.538,Relate to
