GeneId:START_ID(Gene),Relation:TYPE,GeneId:END_ID(Gene),RelationName
613,GeneToGene,3205,Phenotypic enhancement
472,GeneToGene,7157,Phenotypic enhancement
9611,GeneToGene,367,Phenotypic suppression
1499,GeneToGene,1387,Phenotypic enhancement
672,GeneToGene,1385,Phenotypic enhancement
367,GeneToGene,7157,Phenotypic suppression
672,GeneToGene,8543,Phenotypic suppression
2033,GeneToGene,2113,Phenotypic enhancement
2033,GeneToGene,2114,Phenotypic enhancement
7157,GeneToGene,2033,Phenotypic suppression
2002,GeneToGene,2033,Phenotypic enhancement
2033,GeneToGene,7291,Phenotypic suppression
8850,GeneToGene,7291,Phenotypic suppression
10971,GeneToGene,8204,Phenotypic suppression
4487,GeneToGene,1387,Phenotypic suppression
4487,GeneToGene,6908,Phenotypic suppression
4487,GeneToGene,6667,Phenotypic suppression
6929,GeneToGene,8850,Phenotypic enhancement
6929,GeneToGene,2033,Phenotypic enhancement
6929,GeneToGene,1387,Phenotypic enhancement
5970,GeneToGene,1387,Phenotypic enhancement
7157,GeneToGene,1387,Phenotypic suppression
4435,GeneToGene,3312,Phenotypic suppression
367,GeneToGene,1387,Phenotypic suppression
5970,GeneToGene,1387,Phenotypic suppression
6772,GeneToGene,1387,Phenotypic enhancement
6778,GeneToGene,8648,Phenotypic enhancement
3175,GeneToGene,8850,Phenotypic enhancement
1387,GeneToGene,3172,Phenotypic enhancement
6597,GeneToGene,1387,Phenotypic enhancement
6597,GeneToGene,8648,Phenotypic enhancement
4605,GeneToGene,1387,Phenotypic enhancement
4602,GeneToGene,1387,Phenotypic enhancement
2033,GeneToGene,55809,Phenotypic enhancement
4762,GeneToGene,1387,Phenotypic suppression
4762,GeneToGene,4086,Phenotypic suppression
4762,GeneToGene,2033,Phenotypic enhancement
4762,GeneToGene,4086,Phenotypic enhancement
332,GeneToGene,9212,Phenotypic enhancement
9252,GeneToGene,5594,Phenotypic enhancement
9252,GeneToGene,5600,Phenotypic enhancement
9252,GeneToGene,1950,Phenotypic enhancement
9261,GeneToGene,1950,Phenotypic enhancement
8986,GeneToGene,1432,Phenotypic enhancement
8850,GeneToGene,4193,Phenotypic suppression
4851,GeneToGene,4854,Phenotypic suppression
51621,GeneToGene,1387,Phenotypic enhancement
6839,GeneToGene,6305,Synthetic rescue
8535,GeneToGene,5925,Phenotypic enhancement
3276,GeneToGene,10498,Phenotypic enhancement
672,GeneToGene,1387,Phenotypic suppression
672,GeneToGene,2033,Phenotypic suppression
4654,GeneToGene,2033,Phenotypic enhancement
4654,GeneToGene,1387,Phenotypic enhancement
4208,GeneToGene,2033,Phenotypic enhancement
5970,GeneToGene,2033,Phenotypic enhancement
4760,GeneToGene,595,Phenotypic suppression
5757,GeneToGene,2033,Phenotypic enhancement
1051,GeneToGene,2033,Phenotypic enhancement
5499,GeneToGene,6598,Phenotypic enhancement
5500,GeneToGene,6598,Phenotypic enhancement
5501,GeneToGene,6598,Phenotypic enhancement
5367,GeneToGene,4852,Phenotypic enhancement
7409,GeneToGene,5588,Phenotypic enhancement
7157,GeneToGene,5325,Phenotypic enhancement
2060,GeneToGene,3267,Phenotypic enhancement
58513,GeneToGene,3267,Phenotypic enhancement
2048,GeneToGene,51765,Phenotypic enhancement
387,GeneToGene,1400,Phenotypic suppression
387,GeneToGene,1808,Phenotypic suppression
5337,GeneToGene,273,Phenotypic suppression
5337,GeneToGene,274,Phenotypic suppression
5338,GeneToGene,273,Phenotypic suppression
5338,GeneToGene,274,Phenotypic suppression
5595,GeneToGene,673,Phenotypic enhancement
7030,GeneToGene,4286,Phenotypic enhancement
5925,GeneToGene,595,Phenotypic suppression
6872,GeneToGene,5925,Phenotypic suppression
9451,GeneToGene,5611,Phenotypic suppression
2778,GeneToGene,112,Phenotypic enhancement
5970,GeneToGene,2353,Phenotypic enhancement
5970,GeneToGene,3725,Phenotypic enhancement
5879,GeneToGene,100124696,Phenotypic enhancement
7535,GeneToGene,2534,Phenotypic enhancement
9402,GeneToGene,11184,Phenotypic enhancement
6778,GeneToGene,2033,Phenotypic enhancement
6778,GeneToGene,1387,Phenotypic enhancement
5080,GeneToGene,30062,Phenotypic enhancement
6790,GeneToGene,7157,Phenotypic suppression
8312,GeneToGene,1454,Phenotypic suppression
8312,GeneToGene,1452,Phenotypic suppression
5914,GeneToGene,10474,Phenotypic enhancement
6671,GeneToGene,6667,Phenotypic enhancement
6671,GeneToGene,6670,Phenotypic suppression
4217,GeneToGene,142679,Phenotypic enhancement
7026,GeneToGene,3065,Phenotypic enhancement
5422,GeneToGene,5937,Phenotypic enhancement
3106,GeneToGene,3813,Phenotypic enhancement
2475,GeneToGene,5163,Phenotypic enhancement
6416,GeneToGene,5609,Phenotypic enhancement
1051,GeneToGene,9221,Phenotypic enhancement
5599,GeneToGene,10045,Phenotypic enhancement
4784,GeneToGene,6497,Phenotypic enhancement
367,GeneToGene,7329,Phenotypic enhancement
9611,GeneToGene,9572,Phenotypic enhancement
9611,GeneToGene,9975,Phenotypic enhancement
8048,GeneToGene,4654,Phenotypic enhancement
5970,GeneToGene,6908,Phenotypic enhancement
27085,GeneToGene,4193,Phenotypic suppression
9585,GeneToGene,5300,Phenotypic suppression
8575,GeneToGene,5610,Phenotypic enhancement
835,GeneToGene,596,Phenotypic suppression
835,GeneToGene,598,Phenotypic suppression
835,GeneToGene,842,Phenotypic suppression
841,GeneToGene,596,Phenotypic suppression
841,GeneToGene,598,Phenotypic suppression
841,GeneToGene,842,Phenotypic suppression
835,GeneToGene,331,Phenotypic suppression
841,GeneToGene,331,Phenotypic suppression
22938,GeneToGene,4087,Phenotypic enhancement
22938,GeneToGene,4088,Phenotypic enhancement
22938,GeneToGene,4089,Phenotypic enhancement
22938,GeneToGene,6497,Phenotypic suppression
22938,GeneToGene,6498,Phenotypic suppression
11171,GeneToGene,4092,Phenotypic enhancement
4092,GeneToGene,4088,Phenotypic suppression
4087,GeneToGene,11171,Phenotypic suppression
4087,GeneToGene,4088,Phenotypic enhancement
4087,GeneToGene,4092,Phenotypic suppression
4088,GeneToGene,4092,Phenotypic suppression
4089,GeneToGene,4092,Phenotypic suppression
3937,GeneToGene,9402,Phenotypic enhancement
7157,GeneToGene,573,Phenotypic suppression
10519,GeneToGene,5664,Phenotypic enhancement
2185,GeneToGene,9821,Phenotypic suppression
10657,GeneToGene,3190,Phenotypic suppression
3190,GeneToGene,10657,Phenotypic suppression
841,GeneToGene,8996,Phenotypic suppression
8772,GeneToGene,8996,Phenotypic suppression
8717,GeneToGene,8996,Phenotypic suppression
8837,GeneToGene,8996,Phenotypic suppression
7132,GeneToGene,8996,Phenotypic suppression
355,GeneToGene,8996,Phenotypic suppression
8718,GeneToGene,8996,Phenotypic suppression
655,GeneToGene,4086,Phenotypic suppression
4055,GeneToGene,7187,Phenotypic suppression
573,GeneToGene,7421,Phenotypic enhancement
7421,GeneToGene,573,Phenotypic suppression
5328,GeneToGene,5604,Phenotypic suppression
5328,GeneToGene,3265,Phenotypic suppression
3594,GeneToGene,3595,Phenotypic enhancement
5599,GeneToGene,6416,Phenotypic enhancement
5599,GeneToGene,5609,Phenotypic enhancement
23365,GeneToGene,2768,Phenotypic enhancement
23365,GeneToGene,10672,Phenotypic enhancement
100124696,GeneToGene,2768,Phenotypic enhancement
100124696,GeneToGene,10672,Phenotypic enhancement
100124696,GeneToGene,23365,Phenotypic enhancement
6352,GeneToGene,6347,Phenotypic enhancement
5450,GeneToGene,6477,Phenotypic suppression
4217,GeneToGene,5536,Phenotypic suppression
7013,GeneToGene,22919,Phenotypic suppression
5308,GeneToGene,4488,Phenotypic suppression
3553,GeneToGene,23542,Phenotypic suppression
3760,GeneToGene,3762,Phenotypic enhancement
4605,GeneToGene,1025,Phenotypic suppression
4605,GeneToGene,904,Phenotypic suppression
1025,GeneToGene,904,Phenotypic suppression
7157,GeneToGene,1025,Phenotypic suppression
8738,GeneToGene,835,Phenotypic suppression
8106,GeneToGene,22938,Phenotypic enhancement
7189,GeneToGene,171392,Phenotypic suppression
7189,GeneToGene,171392,Phenotypic enhancement
8600,GeneToGene,171392,Phenotypic suppression
3553,GeneToGene,171392,Phenotypic suppression
7099,GeneToGene,51295,Phenotypic suppression
7124,GeneToGene,5879,Phenotypic suppression
5077,GeneToGene,6663,Phenotypic enhancement
1999,GeneToGene,2064,Synthetic rescue
3553,GeneToGene,7334,Phenotypic suppression
7124,GeneToGene,7334,Phenotypic suppression
7189,GeneToGene,7334,Phenotypic suppression
7186,GeneToGene,7334,Phenotypic suppression
6885,GeneToGene,10454,Phenotypic enhancement
114609,GeneToGene,4615,Phenotypic suppression
4615,GeneToGene,3654,Phenotypic suppression
114609,GeneToGene,3656,Phenotypic suppression
114609,GeneToGene,7189,Phenotypic suppression
114609,GeneToGene,6885,Phenotypic suppression
4615,GeneToGene,3656,Phenotypic suppression
4615,GeneToGene,7189,Phenotypic suppression
4615,GeneToGene,6885,Phenotypic suppression
7099,GeneToGene,4615,Phenotypic suppression
7099,GeneToGene,114609,Phenotypic suppression
3556,GeneToGene,114609,Phenotypic enhancement
3556,GeneToGene,4615,Phenotypic suppression
51412,GeneToGene,1487,Phenotypic enhancement
22938,GeneToGene,10499,Phenotypic enhancement
