GeneId:START_ID(Gene),Relation:TYPE,ProteinId:END_ID(Protein),RelationName
7529,GeneToProtein,P31946,Code
10971,GeneToProtein,P27348,Code
7533,GeneToProtein,Q04917,Code
7534,GeneToProtein,P63104,Code
7532,GeneToProtein,P61981,Code
7531,GeneToProtein,P62258,Code
84680,GeneToProtein,Q96QU6,Code
390110,GeneToProtein,Q4AC99,Code
5525,GeneToProtein,Q15172,Code
5519,GeneToProtein,P30154,Code
5526,GeneToProtein,Q15173,Code
5522,GeneToProtein,Q9Y2T4,Code
2810,GeneToProtein,P31947,Code
5521,GeneToProtein,Q00005,Code
5520,GeneToProtein,P63151,Code
5528,GeneToProtein,Q14738,Code
5518,GeneToProtein,P30153,Code
5529,GeneToProtein,Q16537,Code
55844,GeneToProtein,Q66LE6,Code
23616,GeneToProtein,Q9Y3L3,Code
3283,GeneToProtein,P14060,Code
5527,GeneToProtein,Q13362,Code
6452,GeneToProtein,P78314,Code
80270,GeneToProtein,Q9H2F3,Code
80851,GeneToProtein,Q7L8J4,Code
23498,GeneToProtein,P46952,Code
11112,GeneToProtein,P31937,Code
9467,GeneToProtein,O60239,Code
3284,GeneToProtein,P26439,Code
4350,GeneToProtein,P29372,Code
56478,GeneToProtein,Q9NRA8,Code
1978,GeneToProtein,Q13541,Code
6520,GeneToProtein,P08195,Code
1979,GeneToProtein,Q13542,Code
8637,GeneToProtein,O60516,Code
3354,GeneToProtein,P28566,Code
3351,GeneToProtein,P28222,Code
3350,GeneToProtein,P08908,Code
3355,GeneToProtein,P30939,Code
9177,GeneToProtein,O95264,Code
3363,GeneToProtein,P34969,Code
170572,GeneToProtein,Q8WXA8,Code
9689,GeneToProtein,Q7L1Q6,Code
51251,GeneToProtein,Q9H0P0,Code
200909,GeneToProtein,Q70Z44,Code
3352,GeneToProtein,P28221,Code
285242,GeneToProtein,A5X5Y0,Code
84618,GeneToProtein,Q9BXI3,Code
3357,GeneToProtein,P41595,Code
115024,GeneToProtein,Q969T7,Code
3360,GeneToProtein,Q13639,Code
4907,GeneToProtein,P21589,Code
93034,GeneToProtein,Q96P26,Code
3356,GeneToProtein,P28223,Code
3361,GeneToProtein,P47898,Code
28969,GeneToProtein,Q9Y6E2,Code
5226,GeneToProtein,P52209,Code
3362,GeneToProtein,P50406,Code
3358,GeneToProtein,P28335,Code
22978,GeneToProtein,P49902,Code
3359,GeneToProtein,P46098,Code
126133,GeneToProtein,Q8IZ83,Code
25796,GeneToProtein,O95336,Code
644100,GeneToProtein,P0DKL9,Code
29974,GeneToProtein,Q9NQ94,Code
55054,GeneToProtein,Q676U5,Code
6447,GeneToProtein,P05408,Code
5004,GeneToProtein,P02763,Code
4521,GeneToProtein,P36639,Code
390502,GeneToProtein,P20848,Code
5265,GeneToProtein,P01009,Code
5005,GeneToProtein,P19652,Code
89849,GeneToProtein,Q8NAA4,Code
100874392,GeneToProtein,Q8NF67,Code
84210,GeneToProtein,Q5TYW2,Code
441430,GeneToProtein,Q5SQ80,Code
441425,GeneToProtein,Q5VUR7,Code
1,GeneToProtein,P04217,Code
728747,GeneToProtein,Q4UJ75,Code
440482,GeneToProtein,A0PJZ0,Code
