PathwayId:ID(Pathway),PathwayName,:LABEL
R-HSA-164843,2-LTR circle formation,Pathway
R-HSA-73843,5-Phosphoribose 1-diphosphate biosynthesis,Pathway
R-HSA-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,Pathway
R-HSA-5619084,ABC transporter disorders,Pathway
R-HSA-1369062,ABC transporters in lipid homeostasis,Pathway
R-HSA-382556,ABC-family proteins mediated transport,Pathway
R-HSA-9033807,ABO blood group biosynthesis,Pathway
R-HSA-9660821,ADORA2B mediated anti-inflammatory cytokines production,Pathway
R-HSA-418592,ADP signalling through P2Y purinoceptor 1,Pathway
R-HSA-392170,ADP signalling through P2Y purinoceptor 12,Pathway
R-HSA-198323,AKT phosphorylates targets in the cytosol,Pathway
R-HSA-198693,AKT phosphorylates targets in the nucleus,Pathway
R-HSA-211163,AKT-mediated inactivation of FOXO1A,Pathway
R-HSA-9700645,ALK mutants bind TKIs,Pathway
R-HSA-112122,ALKBH2 mediated reversal of alkylation damage,Pathway
R-HSA-112126,ALKBH3 mediated reversal of alkylation damage,Pathway
R-HSA-163680,AMPK inhibits chREBP transcriptional activation activity,Pathway
R-HSA-5467333,APC truncation mutants are not K63 polyubiquitinated,Pathway
R-HSA-5467337,APC truncation mutants have impaired AXIN binding,Pathway
R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,Pathway
R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,Pathway
R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B,Pathway
R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,Pathway
R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,Pathway
R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,Pathway
R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,Pathway
R-HSA-5649702,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Pathway
R-HSA-180689,APOBEC3G mediated resistance to HIV-1 infection,Pathway
R-HSA-5624958,ARL13B-mediated ciliary trafficking of INPP5E,Pathway
R-HSA-170984,ARMS-mediated activation,Pathway
R-HSA-9717264,ASP-3026-resistant ALK mutants,Pathway
R-HSA-380994,ATF4 activates genes in response to endoplasmic reticulum  stress,Pathway
R-HSA-381183,ATF6 (ATF6-alpha) activates chaperone genes,Pathway
R-HSA-381033,ATF6 (ATF6-alpha) activates chaperones,Pathway
R-HSA-8874177,ATF6B (ATF6-beta) activates chaperones,Pathway
R-HSA-1296025,ATP sensitive Potassium channels,Pathway
R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,Pathway
R-HSA-8854518,AURKA Activation by TPX2,Pathway
R-HSA-5467340,AXIN missense mutants destabilize the destruction complex,Pathway
R-HSA-2161522,Abacavir ADME,Pathway
R-HSA-2161541,Abacavir metabolism,Pathway
R-HSA-2161517,Abacavir transmembrane transport,Pathway
R-HSA-73930,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Pathway
R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,Pathway
R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,Pathway
R-HSA-9687136,Aberrant regulation of mitotic exit in cancer due to RB1 defects,Pathway
R-HSA-2978092,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,Pathway
R-HSA-167242,Abortive elongation of HIV-1 transcript in the absence of Tat,Pathway
R-HSA-156582,Acetylation,Pathway
R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,Pathway
R-HSA-181431,Acetylcholine binding and downstream events,Pathway
R-HSA-9667769,Acetylcholine inhibits contraction of outer hair cells,Pathway
R-HSA-399997,Acetylcholine regulates insulin secretion,Pathway
R-HSA-1300645,Acrosome Reaction and Sperm:Oocyte Membrane Binding,Pathway
R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,Pathway
R-HSA-9032845,Activated NTRK2 signals through CDK5,Pathway
R-HSA-9028731,Activated NTRK2 signals through FRS2 and FRS3,Pathway
R-HSA-9032500,Activated NTRK2 signals through FYN,Pathway
R-HSA-9028335,Activated NTRK2 signals through PI3K,Pathway
R-HSA-9026527,Activated NTRK2 signals through PLCG1,Pathway
R-HSA-9026519,Activated NTRK2 signals through RAS,Pathway
R-HSA-9603381,Activated NTRK3 signals through PI3K,Pathway
R-HSA-9034793,Activated NTRK3 signals through PLCG1,Pathway
R-HSA-9034864,Activated NTRK3 signals through RAS,Pathway
R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,Pathway
R-HSA-2033519,Activated point mutants of FGFR2,Pathway
R-HSA-111452,Activation and oligomerization of BAK protein,Pathway
R-HSA-165158,Activation of AKT2,Pathway
R-HSA-399710,Activation of AMPA receptors,Pathway
R-HSA-9619483,Activation of AMPK downstream of NMDARs,Pathway
R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,Pathway
R-HSA-176187,Activation of ATR in response to replication stress,Pathway
R-HSA-111447,Activation of BAD and translocation to mitochondria ,Pathway
R-HSA-114452,Activation of BH3-only proteins,Pathway
R-HSA-111446,Activation of BIM and translocation to mitochondria ,Pathway
R-HSA-139910,Activation of BMF and translocation to mitochondria,Pathway
R-HSA-174577,Activation of C3 and C5,Pathway
R-HSA-451308,Activation of Ca-permeable Kainate Receptor,Pathway
R-HSA-1296041,Activation of G protein gated Potassium channels,Pathway
R-HSA-991365,Activation of GABAB receptors,Pathway
R-HSA-5619507,Activation of HOX genes during differentiation,Pathway
R-HSA-936964,"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",Pathway
R-HSA-1592389,Activation of Matrix Metalloproteinases,Pathway
R-HSA-1169091,Activation of NF-kappaB in B cells,Pathway
R-HSA-2980767,"Activation of NIMA Kinases NEK9, NEK6, NEK7",Pathway
R-HSA-442755,Activation of NMDA receptors and postsynaptic events,Pathway
R-HSA-111448,Activation of NOXA and translocation to mitochondria,Pathway
R-HSA-451307,Activation of Na-permeable kainate receptors,Pathway
R-HSA-2151209,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,Pathway
R-HSA-139915,Activation of PUMA and translocation to mitochondria,Pathway
R-HSA-428540,Activation of RAC1,Pathway
R-HSA-9619229,Activation of RAC1 downstream of NMDARs,Pathway
R-HSA-1169092,Activation of RAS in B cells,Pathway
R-HSA-5635838,Activation of SMO,Pathway
R-HSA-187015,Activation of TRKA receptors,Pathway
R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,Pathway
R-HSA-111459,Activation of caspases through apoptosome-mediated cleavage,Pathway
R-HSA-2426168,Activation of gene expression by SREBF (SREBP),Pathway
R-HSA-451326,Activation of kainate receptors upon glutamate binding,Pathway
R-HSA-450341,Activation of the AP-1 family of transcription factors,Pathway
R-HSA-8866907,Activation of the TFAP2 (AP-2) family of transcription factors,Pathway
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",Pathway
R-HSA-2485179,Activation of the phototransduction cascade,Pathway
R-HSA-68962,Activation of the pre-replicative complex,Pathway
R-HSA-75108,"Activation, myristolyation of BID and translocation to mitochondria",Pathway
R-HSA-114294,"Activation, translocation and oligomerization of BAX",Pathway
R-HSA-1482798,Acyl chain remodeling of CL,Pathway
R-HSA-1482883,Acyl chain remodeling of DAG and TAG,Pathway
R-HSA-1482788,Acyl chain remodelling of PC,Pathway
R-HSA-1482839,Acyl chain remodelling of PE,Pathway
R-HSA-1482925,Acyl chain remodelling of PG,Pathway
R-HSA-1482922,Acyl chain remodelling of PI,Pathway
R-HSA-1482801,Acyl chain remodelling of PS,Pathway
R-HSA-1280218,Adaptive Immune System,Pathway
R-HSA-417973,Adenosine P1 receptors,Pathway
R-HSA-170660,Adenylate cyclase activating pathway,Pathway
R-HSA-170670,Adenylate cyclase inhibitory pathway,Pathway
R-HSA-418990,Adherens junctions interactions,Pathway
R-HSA-9843745,Adipogenesis,Pathway
R-HSA-392023,Adrenaline signalling through Alpha-2 adrenergic receptor,Pathway
R-HSA-400042,"Adrenaline,noradrenaline inhibits insulin secretion",Pathway
R-HSA-390696,Adrenoceptors,Pathway
R-HSA-879415,Advanced glycosylation endproduct receptor signaling,Pathway
R-HSA-1428517,Aerobic respiration and respiratory electron transport,Pathway
R-HSA-5423646,Aflatoxin activation and detoxification,Pathway
R-HSA-9646399,Aggrephagy,Pathway
R-HSA-351143,Agmatine biosynthesis,Pathway
R-HSA-8964540,Alanine metabolism,Pathway
R-HSA-9730737,Alkylating DNA damage induced by chemotherapeutic drugs,Pathway
R-HSA-1462054,Alpha-defensins,Pathway
R-HSA-389599,Alpha-oxidation of phytanate,Pathway
R-HSA-9645460,Alpha-protein kinase 1 signaling pathway,Pathway
R-HSA-9006821,Alternative Lengthening of Telomeres (ALT),Pathway
R-HSA-173736,Alternative complement activation,Pathway
R-HSA-140179,Amine Oxidase reactions,Pathway
R-HSA-375280,Amine ligand-binding receptors,Pathway
R-HSA-156587,Amino Acid conjugation,Pathway
R-HSA-352230,Amino acid transport across the plasma membrane,Pathway
R-HSA-9639288,Amino acids regulate mTORC1,Pathway
R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,Pathway
R-HSA-141424,Amplification of signal from the kinetochores,Pathway
R-HSA-977225,Amyloid fiber formation,Pathway
R-HSA-2214320,Anchoring fibril formation,Pathway
R-HSA-5620912,Anchoring of the basal body to the plasma membrane,Pathway
R-HSA-193048,Androgen biosynthesis,Pathway
R-HSA-2473224,Antagonism of Activin by Follistatin,Pathway
R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection,Pathway
R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",Pathway
R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,Pathway
R-HSA-1236975,Antigen processing-Cross presentation,Pathway
R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,Pathway
R-HSA-9639775,Antimicrobial action and antimicrobial resistance in Mtb,Pathway
R-HSA-6803157,Antimicrobial peptides,Pathway
R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,Pathway
R-HSA-109581,Apoptosis,Pathway
R-HSA-140342,Apoptosis induced DNA fragmentation,Pathway
R-HSA-351906,Apoptotic cleavage of cell adhesion  proteins,Pathway
R-HSA-111465,Apoptotic cleavage of cellular proteins,Pathway
R-HSA-75153,Apoptotic execution phase,Pathway
R-HSA-111471,Apoptotic factor-mediated response,Pathway
R-HSA-445717,Aquaporin-mediated transport,Pathway
R-HSA-426048,Arachidonate production from DAG,Pathway
R-HSA-2142753,Arachidonic acid metabolism,Pathway
R-HSA-211957,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,Pathway
R-HSA-8937144,Aryl hydrocarbon receptor signalling,Pathway
R-HSA-446203,Asparagine N-linked glycosylation,Pathway
R-HSA-8963693,Aspartate and asparagine metabolism,Pathway
R-HSA-9749641,Aspirin ADME,Pathway
R-HSA-175474,Assembly Of The HIV Virion,Pathway
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,Pathway
R-HSA-9820962,Assembly and release of respiratory syncytial virus (RSV) virions,Pathway
R-HSA-168316,Assembly of Viral Components at the Budding Site,Pathway
R-HSA-8963889,Assembly of active LPL and LIPC lipase complexes,Pathway
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,Pathway
R-HSA-68616,Assembly of the ORC complex at the origin of replication,Pathway
R-HSA-9683439,Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),Pathway
R-HSA-9694271,Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC),Pathway
R-HSA-68867,Assembly of the pre-replicative complex,Pathway
R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,Pathway
R-HSA-210455,Astrocytic Glutamate-Glutamine Uptake And Metabolism,Pathway
R-HSA-4608870,Asymmetric localization of PCP proteins,Pathway
R-HSA-9754706,Atorvastatin ADME,Pathway
R-HSA-9678110,Attachment and Entry,Pathway
R-HSA-9694614,Attachment and Entry,Pathway
R-HSA-162791,Attachment of GPI anchor to uPAR,Pathway
R-HSA-3371568,Attenuation phase,Pathway
R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,Pathway
R-HSA-349425,Autodegradation of the E3 ubiquitin ligase COP1,Pathway
R-HSA-177539,Autointegration results in viral DNA circles,Pathway
R-HSA-9612973,Autophagy,Pathway
R-HSA-422475,Axon guidance,Pathway
R-HSA-193634,Axonal growth inhibition (RHOA activation),Pathway
R-HSA-209563,Axonal growth stimulation,Pathway
R-HSA-9748787,Azathioprine ADME,Pathway
R-HSA-5250924,B-WICH complex positively regulates rRNA expression,Pathway
R-HSA-5620922,BBSome-mediated cargo-targeting to cilium,Pathway
