PathwayId:START_ID(Pathway),Relation:TYPE,PathwayId:END_ID(Pathway),RelationName
R-HSA-109581,PathwayToPathway,R-HSA-109606,Is parent of
R-HSA-109581,PathwayToPathway,R-HSA-169911,Is parent of
R-HSA-109581,PathwayToPathway,R-HSA-5357769,Is parent of
R-HSA-109581,PathwayToPathway,R-HSA-75153,Is parent of
R-HSA-109582,PathwayToPathway,R-HSA-140877,Is parent of
R-HSA-109582,PathwayToPathway,R-HSA-202733,Is parent of
R-HSA-109582,PathwayToPathway,R-HSA-418346,Is parent of
R-HSA-109582,PathwayToPathway,R-HSA-75205,Is parent of
R-HSA-109582,PathwayToPathway,R-HSA-75892,Is parent of
R-HSA-109582,PathwayToPathway,R-HSA-76002,Is parent of
R-HSA-109582,PathwayToPathway,R-HSA-983231,Is parent of
R-HSA-109606,PathwayToPathway,R-HSA-111452,Is parent of
R-HSA-109606,PathwayToPathway,R-HSA-111453,Is parent of
R-HSA-109606,PathwayToPathway,R-HSA-111471,Is parent of
R-HSA-109606,PathwayToPathway,R-HSA-114294,Is parent of
R-HSA-109606,PathwayToPathway,R-HSA-114452,Is parent of
R-HSA-109606,PathwayToPathway,R-HSA-75108,Is parent of
R-HSA-109703,PathwayToPathway,R-HSA-165160,Is parent of
R-HSA-109704,PathwayToPathway,R-HSA-109703,Is parent of
R-HSA-109704,PathwayToPathway,R-HSA-165158,Is parent of
R-HSA-110313,PathwayToPathway,R-HSA-110312,Is parent of
R-HSA-110313,PathwayToPathway,R-HSA-110320,Is parent of
R-HSA-110313,PathwayToPathway,R-HSA-5655862,Is parent of
R-HSA-110313,PathwayToPathway,R-HSA-5656121,Is parent of
R-HSA-110313,PathwayToPathway,R-HSA-5656169,Is parent of
R-HSA-110373,PathwayToPathway,R-HSA-110362,Is parent of
R-HSA-110373,PathwayToPathway,R-HSA-5651801,Is parent of
R-HSA-110381,PathwayToPathway,R-HSA-73930,Is parent of
R-HSA-111458,PathwayToPathway,R-HSA-9627069,Is parent of
R-HSA-111461,PathwayToPathway,R-HSA-111458,Is parent of
R-HSA-111461,PathwayToPathway,R-HSA-111459,Is parent of
R-HSA-111465,PathwayToPathway,R-HSA-264870,Is parent of
R-HSA-111465,PathwayToPathway,R-HSA-351906,Is parent of
R-HSA-111465,PathwayToPathway,R-HSA-352238,Is parent of
R-HSA-111469,PathwayToPathway,R-HSA-111463,Is parent of
R-HSA-111469,PathwayToPathway,R-HSA-111464,Is parent of
R-HSA-111471,PathwayToPathway,R-HSA-111457,Is parent of
R-HSA-111471,PathwayToPathway,R-HSA-111461,Is parent of
R-HSA-111471,PathwayToPathway,R-HSA-111469,Is parent of
R-HSA-111885,PathwayToPathway,R-HSA-112040,Is parent of
R-HSA-111885,PathwayToPathway,R-HSA-180024,Is parent of
R-HSA-111885,PathwayToPathway,R-HSA-202040,Is parent of
R-HSA-111931,PathwayToPathway,R-HSA-163615,Is parent of
R-HSA-111933,PathwayToPathway,R-HSA-111931,Is parent of
R-HSA-111933,PathwayToPathway,R-HSA-111932,Is parent of
