NodeType: Drug | Name: 3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester | DrugId: DB01959
NodeType: Drug | Name: 7-methyl-7,8-dihydroguanosine-5'-diphosphate | DrugId: DB01960
NodeType: Drug | Name: Cytidine 3'-monophosphate | DrugId: DB01961
NodeType: Drug | Name: Phosphonotyrosine | DrugId: DB01962
NodeType: Drug | Name: Phenylethane Boronic Acid | DrugId: DB01963
NodeType: Drug | Name: AL5424 | DrugId: DB01964
NodeType: Drug | Name: 2'-Deoxyuridine 5'-alpha,beta-imido-triphosphate | DrugId: DB01965
NodeType: Drug | Name: Di-Stearoyl-3-Sn-Phosphatidylethanolamine | DrugId: DB01966
NodeType: Drug | Name: N-{3-[(7ar,12as,12bs)-7-Oxo-1,3,4,6,7,7a,12a,12b-Octahydroindolo[2,3-a]Quinolizin-12(2h)-Yl]Propyl}Propane-2-Sulfonamide | DrugId: DB01967
NodeType: Drug | Name: 2-Thioethenamine | DrugId: DB01968
NodeType: Drug | Name: Trifluoroacetonyl coenzyme A | DrugId: DB01969
NodeType: Drug | Name: Hg9a-9, Nonanoyl-N-Hydroxyethylglucamide | DrugId: DB01970
NodeType: Drug | Name: O-Benzylsulfonyl-Serine | DrugId: DB01973
NodeType: Drug | Name: 2-Amino-3-[5-(Amino-Carboxy-Methyl)-2,3-Dihydro-Isoxazol-3-Ylsulfanyl]-Propionic Acid | DrugId: DB01974
NodeType: Drug | Name: AMPCPR | DrugId: DB01975
NodeType: Drug | Name: Aminoanthracene | DrugId: DB01976
NodeType: Drug | Name: 6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine | DrugId: DB01977
NodeType: Drug | Name: 7,9-Dimethylguanine | DrugId: DB01978
NodeType: Drug | Name: Methyl alpha-D-mannoside | DrugId: DB01979
NodeType: Drug | Name: Para-Iodo-D-Phenylalanine Hydroxamic Acid | DrugId: DB01980
NodeType: Drug | Name: 3,6-Anhydro-2-(hydrogen sulfate)-alpha-D-galactopyranose | DrugId: DB01981
NodeType: Drug | Name: D-Mannuronic Acid | DrugId: DB01982
NodeType: Drug | Name: 2(S)-Amino-6-Boronohexanoic Acid | DrugId: DB01983
