NodeType: Pathway | PathwayName: Regulation of innate immune responses to cytosolic DNA | PathwayId: R-HSA-3134975
NodeType: Pathway | PathwayName: Regulation of insulin secretion | PathwayId: R-HSA-422356
NodeType: Pathway | PathwayName: Regulation of lipid metabolism by PPARalpha | PathwayId: R-HSA-400206
NodeType: Pathway | PathwayName: Regulation of localization of FOXO transcription factors | PathwayId: R-HSA-9614399
NodeType: Pathway | PathwayName: Regulation of mRNA stability by proteins that bind AU-rich elements | PathwayId: R-HSA-450531
NodeType: Pathway | PathwayName: Regulation of mitotic cell cycle | PathwayId: R-HSA-453276
NodeType: Pathway | PathwayName: Regulation of necroptotic cell death | PathwayId: R-HSA-5675482
NodeType: Pathway | PathwayName: Regulation of ornithine decarboxylase (ODC) | PathwayId: R-HSA-350562
NodeType: Pathway | PathwayName: Regulation of pyruvate dehydrogenase (PDH) complex | PathwayId: R-HSA-204174
NodeType: Pathway | PathwayName: Regulation of pyruvate metabolism | PathwayId: R-HSA-9861718
NodeType: Pathway | PathwayName: Regulation of signaling by CBL | PathwayId: R-HSA-912631
NodeType: Pathway | PathwayName: Regulation of signaling by NODAL | PathwayId: R-HSA-1433617
NodeType: Pathway | PathwayName: Regulation of the apoptosome activity | PathwayId: R-HSA-9627069
NodeType: Pathway | PathwayName: Regulation of thyroid hormone activity | PathwayId: R-HSA-350864
NodeType: Pathway | PathwayName: Relaxin receptors | PathwayId: R-HSA-444821
NodeType: Pathway | PathwayName: Release | PathwayId: R-HSA-168298
NodeType: Pathway | PathwayName: Release of Hh-Np from the secreting cell | PathwayId: R-HSA-5362798
NodeType: Pathway | PathwayName: Release of apoptotic factors from the mitochondria | PathwayId: R-HSA-111457
NodeType: Pathway | PathwayName: Removal of aminoterminal propeptides from gamma-carboxylated proteins | PathwayId: R-HSA-159782
NodeType: Pathway | PathwayName: Removal of the Flap Intermediate | PathwayId: R-HSA-69166
NodeType: Pathway | PathwayName: Removal of the Flap Intermediate from the C-strand | PathwayId: R-HSA-174437
NodeType: Pathway | PathwayName: Replacement of protamines by nucleosomes in the male pronucleus | PathwayId: R-HSA-9821993
NodeType: Pathway | PathwayName: Replication of the SARS-CoV-1 genome | PathwayId: R-HSA-9682706
NodeType: Pathway | PathwayName: Replication of the SARS-CoV-2 genome | PathwayId: R-HSA-9694686
NodeType: Pathway | PathwayName: Repression of WNT target genes | PathwayId: R-HSA-4641265
