NodeType: Protein | FullName: Amino acid transporter heavy chain SLC3A1 | EntryName: SLC31_HUMAN | ProteinId: Q07837
NodeType: Protein | FullName: DNA replication complex GINS protein SLD5 | EntryName: SLD5_HUMAN | ProteinId: Q9BRT9
NodeType: Protein | FullName: SLIT and NTRK-like protein 4 | EntryName: SLIK4_HUMAN | ProteinId: Q8IW52
NodeType: Protein | FullName: Sodium/hydrogen exchanger 9 | EntryName: SL9A9_HUMAN | ProteinId: Q8IVB4
NodeType: Protein | FullName: SMC5-SMC6 complex localization factor protein 2 | EntryName: SLF2_HUMAN | ProteinId: Q8IX21
NodeType: Protein | FullName: SLIT and NTRK-like protein 5 | EntryName: SLIK5_HUMAN | ProteinId: O94991
NodeType: Protein | FullName: Somatoliberin | EntryName: SLIB_HUMAN | ProteinId: P01286
NodeType: Protein | FullName: Slit homolog 3 protein | EntryName: SLIT3_HUMAN | ProteinId: O75094
NodeType: Protein | FullName: SLIT and NTRK-like protein 6 | EntryName: SLIK6_HUMAN | ProteinId: Q9H5Y7
NodeType: Protein | FullName: SLIT and NTRK-like protein 1 | EntryName: SLIK1_HUMAN | ProteinId: Q96PX8
NodeType: Protein | FullName: Schlafen family member 5 | EntryName: SLFN5_HUMAN | ProteinId: Q08AF3
NodeType: Protein | FullName: Nuclear GTPase SLIP-GC | EntryName: SLIP_HUMAN | ProteinId: Q68CJ6
NodeType: Protein | FullName: SLIT and NTRK-like protein 2 | EntryName: SLIK2_HUMAN | ProteinId: Q9H156
NodeType: Protein | FullName: Sarcolemmal membrane-associated protein | EntryName: SLMAP_HUMAN | ProteinId: Q14BN4
NodeType: Protein | FullName: SRA stem-loop-interacting RNA-binding protein, mitochondrial | EntryName: SLIRP_HUMAN | ProteinId: Q9GZT3
NodeType: Protein | FullName: SLIT and NTRK-like protein 3 | EntryName: SLIK3_HUMAN | ProteinId: O94933
NodeType: Protein | FullName: Slit homolog 1 protein | EntryName: SLIT1_HUMAN | ProteinId: O75093
NodeType: Protein | FullName: Schlafen family member 11 | EntryName: SLN11_HUMAN | ProteinId: Q7Z7L1
NodeType: Protein | FullName: Antileukoproteinase | EntryName: SLPI_HUMAN | ProteinId: P03973
NodeType: Protein | FullName: Ribonuclease SLFN12 | EntryName: SLN12_HUMAN | ProteinId: Q8IYM2
NodeType: Protein | FullName: STE20-like serine/threonine-protein kinase | EntryName: SLK_HUMAN | ProteinId: Q9H2G2
NodeType: Protein | FullName: SAFB-like transcription modulator | EntryName: SLTM_HUMAN | ProteinId: Q9NWH9
NodeType: Protein | FullName: Schlafen family member 13 | EntryName: SLN13_HUMAN | ProteinId: Q68D06
NodeType: Protein | FullName: Slit homolog 2 protein | EntryName: SLIT2_HUMAN | ProteinId: O94813
NodeType: Protein | FullName: Protein SLFN14 | EntryName: SLN14_HUMAN | ProteinId: P0C7P3
NodeType: Protein | FullName: Pre-mRNA-splicing factor SLU7 | EntryName: SLU7_HUMAN | ProteinId: O95391
NodeType: Protein | FullName: Secreted Ly-6/uPAR-related protein 1 | EntryName: SLUR1_HUMAN | ProteinId: P55000
NodeType: Protein | FullName: Structure-specific endonuclease subunit SLX1 | EntryName: SLX1_HUMAN | ProteinId: Q9BQ83
NodeType: Protein | FullName: Secreted Ly-6/uPAR domain-containing protein 2 | EntryName: SLUR2_HUMAN | ProteinId: P0DP57
NodeType: Protein | FullName: Schlafen-like protein 1 | EntryName: SLNL1_HUMAN | ProteinId: Q499Z3
NodeType: Protein | FullName: Protein SLX4IP | EntryName: SLX4I_HUMAN | ProteinId: Q5VYV7
NodeType: Protein | FullName: Structure-specific endonuclease subunit SLX4 | EntryName: SLX4_HUMAN | ProteinId: Q8IY92
NodeType: Protein | FullName: Ribosome biogenesis protein SLX9 homolog | EntryName: SLX9_HUMAN | ProteinId: Q9NSI2
NodeType: Protein | FullName: Protein Smaug homolog 1 | EntryName: SMAG1_HUMAN | ProteinId: Q9UPU9
NodeType: Protein | FullName: Sperm microtubule associated protein 2-like | EntryName: SMA2L_HUMAN | ProteinId: P0DJG4
NodeType: Protein | FullName: Scm-like with four MBT domains protein 2 | EntryName: SMBT2_HUMAN | ProteinId: Q5VUG0
NodeType: Protein | FullName: Small integral membrane protein 34 | EntryName: SM34A_HUMAN | ProteinId: A8MWV9
NodeType: Protein | FullName: Structural maintenance of chromosomes protein 2 | EntryName: SMC2_HUMAN | ProteinId: O95347
NodeType: Protein | FullName: Small acidic protein | EntryName: SMAP_HUMAN | ProteinId: O00193
NodeType: Protein | FullName: SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 | EntryName: SMAL1_HUMAN | ProteinId: Q9NZC9
NodeType: Protein | FullName: Mothers against decapentaplegic homolog 4 | EntryName: SMAD4_HUMAN | ProteinId: Q13485
NodeType: Protein | FullName: Protein Smaug homolog 2 | EntryName: SMAG2_HUMAN | ProteinId: Q5PRF9
NodeType: Protein | FullName: Structural maintenance of chromosomes protein 4 | EntryName: SMC4_HUMAN | ProteinId: Q9NTJ3
NodeType: Protein | FullName: SMAD5 antisense gene protein 1 | EntryName: SMA5O_HUMAN | ProteinId: Q9Y6J3
NodeType: Protein | FullName: Mothers against decapentaplegic homolog 1 | EntryName: SMAD1_HUMAN | ProteinId: Q15797
NodeType: Protein | FullName: Small cell adhesion glycoprotein | EntryName: SMAGP_HUMAN | ProteinId: Q0VAQ4
NodeType: Protein | FullName: Structural maintenance of chromosomes protein 6 | EntryName: SMC6_HUMAN | ProteinId: Q96SB8
NodeType: Protein | FullName: Stromal membrane-associated protein 1 | EntryName: SMAP1_HUMAN | ProteinId: Q8IYB5
NodeType: Protein | FullName: DNA-binding protein SMUBP-2 | EntryName: SMBP2_HUMAN | ProteinId: P38935
NodeType: Protein | FullName: Small membrane A-kinase anchor protein | EntryName: SMAKA_HUMAN | ProteinId: Q9BSF0
NodeType: Protein | FullName: Structural maintenance of chromosomes protein 1A | EntryName: SMC1A_HUMAN | ProteinId: Q14683
NodeType: Protein | FullName: Mothers against decapentaplegic homolog 5 | EntryName: SMAD5_HUMAN | ProteinId: Q99717
NodeType: Protein | FullName: SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 | EntryName: SMCE1_HUMAN | ProteinId: Q969G3
NodeType: Protein | FullName: Stromal membrane-associated protein 2 | EntryName: SMAP2_HUMAN | ProteinId: Q8WU79
NodeType: Protein | FullName: Smith-Magenis syndrome chromosomal region candidate gene 5 protein | EntryName: SMCR5_HUMAN | ProteinId: Q8TEV8
NodeType: Protein | FullName: Probable global transcription activator SNF2L1 | EntryName: SMCA1_HUMAN | ProteinId: P28370
NodeType: Protein | FullName: Scm-like with four MBT domains protein 1 | EntryName: SMBT1_HUMAN | ProteinId: Q9UHJ3
NodeType: Protein | FullName: Structural maintenance of chromosomes protein 3 | EntryName: SMC3_HUMAN | ProteinId: Q9UQE7
NodeType: Protein | FullName: Structural maintenance of chromosomes protein 5 | EntryName: SMC5_HUMAN | ProteinId: Q8IY18
NodeType: Protein | FullName: Structural maintenance of chromosomes protein 1B | EntryName: SMC1B_HUMAN | ProteinId: Q8NDV3
NodeType: Protein | FullName: Guanine nucleotide exchange protein SMCR8 | EntryName: SMCR8_HUMAN | ProteinId: Q8TEV9
NodeType: Protein | FullName: Single-pass membrane and coiled-coil domain-containing protein 1 | EntryName: SMCO1_HUMAN | ProteinId: Q147U7
NodeType: Protein | FullName: Mothers against decapentaplegic homolog 2 | EntryName: SMAD2_HUMAN | ProteinId: Q15796
NodeType: Protein | FullName: Probable global transcription activator SNF2L2 | EntryName: SMCA2_HUMAN | ProteinId: P51531
NodeType: Protein | FullName: Single-pass membrane and coiled-coil domain-containing protein 2 | EntryName: SMCO2_HUMAN | ProteinId: A6NFE2
NodeType: Protein | FullName: Mothers against decapentaplegic homolog 6 | EntryName: SMAD6_HUMAN | ProteinId: O43541
NodeType: Protein | FullName: Single-pass membrane and coiled-coil domain-containing protein 3 | EntryName: SMCO3_HUMAN | ProteinId: A2RU48
NodeType: Protein | FullName: Mothers against decapentaplegic homolog 7 | EntryName: SMAD7_HUMAN | ProteinId: O15105
NodeType: Protein | FullName: Single-pass membrane and coiled-coil domain-containing protein 4 | EntryName: SMCO4_HUMAN | ProteinId: Q9NRQ5
NodeType: Protein | FullName: Small nuclear ribonucleoprotein Sm D1 | EntryName: SMD1_HUMAN | ProteinId: P62314
NodeType: Protein | FullName: Nonsense-mediated mRNA decay factor SMG8 | EntryName: SMG8_HUMAN | ProteinId: Q8ND04
NodeType: Protein | FullName: Transcription activator BRG1 | EntryName: SMCA4_HUMAN | ProteinId: P51532
NodeType: Protein | FullName: Putative uncharacterized SMG1-like protein | EntryName: SMG1L_HUMAN | ProteinId: Q6P435
NodeType: Protein | FullName: Mothers against decapentaplegic homolog 9 | EntryName: SMAD9_HUMAN | ProteinId: O15198
NodeType: Protein | FullName: Small nuclear ribonucleoprotein Sm D3 | EntryName: SMD3_HUMAN | ProteinId: P62318
