ProteinId:ID(Protein),EntryName,FullName,:LABEL
P31946,1433B_HUMAN,14-3-3 protein beta/alpha,Protein
P27348,1433T_HUMAN,14-3-3 protein theta,Protein
Q04917,1433F_HUMAN,14-3-3 protein eta,Protein
P63104,1433Z_HUMAN,14-3-3 protein zeta/delta,Protein
P61981,1433G_HUMAN,14-3-3 protein gamma,Protein
P62258,1433E_HUMAN,14-3-3 protein epsilon,Protein
Q96QU6,1A1L1_HUMAN,1-aminocyclopropane-1-carboxylate synthase-like protein 1,Protein
Q4AC99,1A1L2_HUMAN,Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2,Protein
Q15172,2A5A_HUMAN,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,Protein
P30154,2AAB_HUMAN,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,Protein
Q15173,2A5B_HUMAN,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform,Protein
Q9Y2T4,2ABG_HUMAN,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform,Protein
P31947,1433S_HUMAN,14-3-3 protein sigma,Protein
Q00005,2ABB_HUMAN,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform,Protein
P63151,2ABA_HUMAN,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,Protein
Q14738,2A5D_HUMAN,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,Protein
P30153,2AAA_HUMAN,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,Protein
Q16537,2A5E_HUMAN,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform,Protein
Q66LE6,2ABD_HUMAN,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform,Protein
Q9Y3L3,3BP1_HUMAN,SH3 domain-binding protein 1,Protein
P14060,3BHS1_HUMAN,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,Protein
Q13362,2A5G_HUMAN,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,Protein
P78314,3BP2_HUMAN,SH3 domain-binding protein 2,Protein
Q9H2F3,3BHS7_HUMAN,3 beta-hydroxysteroid dehydrogenase type 7,Protein
Q7L8J4,3BP5L_HUMAN,SH3 domain-binding protein 5-like,Protein
P46952,3HAO_HUMAN,"3-hydroxyanthranilate 3,4-dioxygenase",Protein
P31937,3HIDH_HUMAN,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",Protein
O60239,3BP5_HUMAN,SH3 domain-binding protein 5,Protein
P26439,3BHS2_HUMAN,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,Protein
P29372,3MG_HUMAN,DNA-3-methyladenine glycosylase,Protein
Q9NRA8,4ET_HUMAN,Eukaryotic translation initiation factor 4E transporter,Protein
Q13541,4EBP1_HUMAN,Eukaryotic translation initiation factor 4E-binding protein 1,Protein
P08195,4F2_HUMAN,Amino acid transporter heavy chain SLC3A2,Protein
Q13542,4EBP2_HUMAN,Eukaryotic translation initiation factor 4E-binding protein 2,Protein
O60516,4EBP3_HUMAN,Eukaryotic translation initiation factor 4E-binding protein 3,Protein
P28566,5HT1E_HUMAN,5-hydroxytryptamine receptor 1E,Protein
P28222,5HT1B_HUMAN,5-hydroxytryptamine receptor 1B,Protein
P08908,5HT1A_HUMAN,5-hydroxytryptamine receptor 1A,Protein
P30939,5HT1F_HUMAN,5-hydroxytryptamine receptor 1F,Protein
O95264,5HT3B_HUMAN,5-hydroxytryptamine receptor 3B,Protein
P34969,5HT7R_HUMAN,5-hydroxytryptamine receptor 7,Protein
Q8WXA8,5HT3C_HUMAN,5-hydroxytryptamine receptor 3C,Protein
Q7L1Q6,5MP2_HUMAN,eIF5-mimic protein 2,Protein
Q9H0P0,5NT3A_HUMAN,Cytosolic 5'-nucleotidase 3A,Protein
Q70Z44,5HT3D_HUMAN,5-hydroxytryptamine receptor 3D,Protein
P28221,5HT1D_HUMAN,5-hydroxytryptamine receptor 1D,Protein
A5X5Y0,5HT3E_HUMAN,5-hydroxytryptamine receptor 3E,Protein
Q9BXI3,5NT1A_HUMAN,Cytosolic 5'-nucleotidase 1A,Protein
P41595,5HT2B_HUMAN,5-hydroxytryptamine receptor 2B,Protein
Q969T7,5NT3B_HUMAN,7-methylguanosine phosphate-specific 5'-nucleotidase,Protein
Q13639,5HT4R_HUMAN,5-hydroxytryptamine receptor 4,Protein
P21589,5NTD_HUMAN,5'-nucleotidase,Protein
Q96P26,5NT1B_HUMAN,Cytosolic 5'-nucleotidase 1B,Protein
P28223,5HT2A_HUMAN,5-hydroxytryptamine receptor 2A,Protein
P47898,5HT5A_HUMAN,5-hydroxytryptamine receptor 5A,Protein
Q9Y6E2,5MP1_HUMAN,eIF5-mimic protein 1,Protein
P52209,6PGD_HUMAN,"6-phosphogluconate dehydrogenase, decarboxylating",Protein
P50406,5HT6R_HUMAN,5-hydroxytryptamine receptor 6,Protein
P28335,5HT2C_HUMAN,5-hydroxytryptamine receptor 2C,Protein
P49902,5NTC_HUMAN,Cytosolic purine 5'-nucleotidase,Protein
P46098,5HT3A_HUMAN,5-hydroxytryptamine receptor 3A,Protein
Q8IZ83,A16A1_HUMAN,Aldehyde dehydrogenase family 16 member A1,Protein
O95336,6PGL_HUMAN,6-phosphogluconolactonase,Protein
P0DKL9,A14EL_HUMAN,ARL14 effector protein-like,Protein
Q9NQ94,A1CF_HUMAN,APOBEC1 complementation factor,Protein
Q676U5,A16L1_HUMAN,Autophagy-related protein 16-1,Protein
P05408,7B2_HUMAN,Neuroendocrine protein 7B2,Protein
P02763,A1AG1_HUMAN,Alpha-1-acid glycoprotein 1,Protein
P36639,8ODP_HUMAN,Oxidized purine nucleoside triphosphate hydrolase,Protein
P20848,A1ATR_HUMAN,Alpha-1-antitrypsin-related protein,Protein
P01009,A1AT_HUMAN,Alpha-1-antitrypsin,Protein
P19652,A1AG2_HUMAN,Alpha-1-acid glycoprotein 2,Protein
Q8NAA4,A16L2_HUMAN,Protein Atg16l2,Protein
Q8NF67,A2012_HUMAN,Putative ankyrin repeat domain-containing protein 20A12 pseudogene,Protein
Q5TYW2,A20A1_HUMAN,Ankyrin repeat domain-containing protein 20A1,Protein
Q5SQ80,A20A2_HUMAN,Putative ankyrin repeat domain-containing protein 20A2,Protein
Q5VUR7,A20A3_HUMAN,Putative ankyrin repeat domain-containing protein 20A3,Protein
P04217,A1BG_HUMAN,Alpha-1B-glycoprotein,Protein
Q4UJ75,A20A4_HUMAN,Putative ankyrin repeat domain-containing protein 20A4,Protein
A0PJZ0,A20A5_HUMAN,Putative ankyrin repeat domain-containing protein 20A5,Protein
A7E2S9,A30BL_HUMAN,Putative ankyrin repeat domain-containing protein 30B-like,Protein
Q9UNA3,A4GCT_HUMAN,"Alpha-1,4-N-acetylglucosaminyltransferase",Protein
Q5T5F5,A4AS1_HUMAN,Uncharacterized protein ADAMTSL4-AS1,Protein
P01023,A2MG_HUMAN,Alpha-2-macroglobulin,Protein
P08697,A2AP_HUMAN,Alpha-2-antiplasmin,Protein
Q9NPC4,A4GAT_HUMAN,Lactosylceramide 4-alpha-galactosyltransferase,Protein
Q96IX9,A26L1_HUMAN,Putative ankyrin repeat domain-containing protein 26-like 1,Protein
P02750,A2GL_HUMAN,Leucine-rich alpha-2-glycoprotein,Protein
U3KPV4,A3LT2_HUMAN,"Alpha-1,3-galactosyltransferase 2",Protein
P30542,AA1R_HUMAN,Adenosine receptor A1,Protein
P0DMS8,AA3R_HUMAN,Adenosine receptor A3,Protein
A8K2U0,A2ML1_HUMAN,Alpha-2-macroglobulin-like protein 1,Protein
Q96GX2,A7L3B_HUMAN,Ataxin-7-like protein 3B,Protein
Q9NS82,AAA1_HUMAN,Asc-type amino acid transporter 1,Protein
P29274,AA2AR_HUMAN,Adenosine receptor A2a,Protein
Q9NRG9,AAAS_HUMAN,Aladin,Protein
P22760,AAAD_HUMAN,Arylacetamide deacetylase,Protein
Q86V21,AACS_HUMAN,Acetoacetyl-CoA synthetase,Protein
Q8N5Z0,AADAT_HUMAN,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",Protein
P29275,AA2BR_HUMAN,Adenosine receptor A2b,Protein
Q15758,AAAT_HUMAN,Neutral amino acid transporter B(0),Protein
